Tipo;Quebra1;Quebra2;Ficha;Dotação;Orçado Atualizado;Mês 1;Mês 2;Mês 3;Mês 4;Mês 5;Mês 6;Mês 7;Mês 8;Mês 9;Mês 10;Mês 11;Mês 12
Analitico;0;0;435-23101.0412602152.035.3.3.90.40.1500000000;23101.0412602152.035.3.3.90.40.1500000000;0;413994,48;0;0;0;0;0;0;0;0;0;-8487,5;0
Analitico;0;0;444-23101.0412602152.036.3.3.90.40.1500000000;23101.0412602152.036.3.3.90.40.1500000000;0;590152,41;-1019,4;0;0;0;0;0;0;0;0;-377600,16;0
Analitico;0;0;457-23101.0412602152.035.3.3.90.40.1500000000;23101.0412602152.035.3.3.90.40.1500000000;5160080;451197,89;1278320,28;2774394;0;-105233,17;0;9182,5;0;193724,18;19500;270833,33;-285825,09
Analitico;0;0;463-23101.0412602152.036.3.3.90.40.1500000000;23101.0412602152.036.3.3.90.40.1500000000;4588310,57;349425,08;526478,14;4161551,81;0;-1497691,18;0;265271,13;0;0;15000;70000;-115355,03
Analitico;0;0;744-23101.0412602152.036.4.4.90.40.1500000000;23101.0412602152.036.4.4.90.40.1500000000;100000;0;0;0;0;0;0;0;0;0;0;0;60852,6
Analitico;0;0;282-23101.0412204032.141.4.4.90.52.0100000000;23101.0412204032.141.4.4.90.52.0100000000;0;1700;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;443-23101.0412602152.036.4.4.90.52.1500000000;23101.0412602152.036.4.4.90.52.1500000000;0;338712,01;0;0;0;0;0;0;0;0;0;-45,01;0
Analitico;0;0;462-23101.0412204032.141.4.4.90.52.1500000000;23101.0412204032.141.4.4.90.52.1500000000;185000;0;61123;9793,26;50415,09;0;0;0;0;0;0;0;0
Analitico;0;0;464-23101.0412602152.036.4.4.90.52.1500000000;23101.0412602152.036.4.4.90.52.1500000000;3149622,77;0;456270,2;241106,8;0;0;740914,92;0;139497,88;0;50840;454550,57;433206,8
Analitico;0;0;180-24101.1430602162.382.3.3.90.0100000000;24101.1430602162.382.3.3.90.0100000000;0;288778,7;0;0;0;0;0;0;0;0;0;0;-288778,7
Analitico;0;0;35-24101.0412204032.138.3.1.90.04.1500000000;24101.0412204032.138.3.1.90.04.1500000000;0;7854,91;0;0;0;0;0;0;0;0;0;0;-7854,91
Analitico;0;0;39-24101.0412204032.138.3.1.90.04.1500000000;24101.0412204032.138.3.1.90.04.1500000000;925236,48;64430,27;860806,21;0;0;0;0;0;0;0;0;0;-83289,38
Analitico;0;0;40-24101.0412204032.138.3.1.90.11.1500000000;24101.0412204032.138.3.1.90.11.1500000000;1017864,14;71358,21;946505,93;0;0;0;0;0;0;0;0;0;-122564,13
Analitico;0;0;674-24101.1430602182.048.3.3.50.41.1500000134;24101.1430602182.048.3.3.50.41.1500000134;8393198,25;0;0;0;0;0;300000;0;2100000;0;300000;0;4841698,25
Analitico;0;0;797-24101.1430602182.048.3.3.50.41.1500000134;24101.1430602182.048.3.3.50.41.1500000134;0;970000;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;536-24101.0412204032.141.3.3.90.14.1500000000;24101.0412204032.141.3.3.90.14.1500000000;20000;0;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;379-24101.0412204032.141.3.3.90.30.0100000000;24101.0412204032.141.3.3.90.30.0100000000;0;45548,48;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;456-24101.1430602182.048.3.3.90.30.1500000000;24101.1430602182.048.3.3.90.30.1500000000;0;85085,21;0;0;0;0;0;0;0;0;0;0;-39928,08
Analitico;0;0;470-24101.0412204032.141.3.3.90.30.1500000000;24101.0412204032.141.3.3.90.30.1500000000;0;89890,13;0;-61422,23;0;0;0;0;0;0;0;0;-13921,02
Analitico;0;0;516-24101.1430602182.048.3.3.90.30.1500000000;24101.1430602182.048.3.3.90.30.1500000000;500000;0;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;521-24101.1430602182.051.3.3.90.30.1500000000;24101.1430602182.051.3.3.90.30.1500000000;98000;0;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;525-24101.0412204032.141.3.3.90.30.1500000000;24101.0412204032.141.3.3.90.30.1500000000;421256,73;0;0;61422,23;0;132016,29;0;0;54510;0;25594,5;25000;0
Analitico;0;0;539-24101.1412204032.151.3.3.90.30.1500000000;24101.1412204032.151.3.3.90.30.1500000000;80000;0;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;375-24101.1430602182.150.3.3.90.32.0100000000;24101.1430602182.150.3.3.90.32.0100000000;0;1967177,56;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;466-24101.1430602182.150.3.3.90.32.1500000000;24101.1430602182.150.3.3.90.32.1500000000;0;675077,56;0;0;0;0;0;0;0;0;0;0;-653589,56
Analitico;0;0;518-24101.1430602182.049.3.3.90.32.1500000000;24101.1430602182.049.3.3.90.32.1500000000;0;0;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;538-24101.1430602182.150.3.3.90.32.1500000000;24101.1430602182.150.3.3.90.32.1500000000;4358160;0;303160;0;1994000;0;0;0;606320;0;-606320;2061000;0
Analitico;0;0;715-24101.1430602182.150.3.3.90.32.1500000134;24101.1430602182.150.3.3.90.32.1500000134;550000;0;0;0;0;0;0;0;0;0;0;0;549943,5
Analitico;0;0;537-24101.0412204032.141.3.3.90.33.1500000000;24101.0412204032.141.3.3.90.33.1500000000;150000;0;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;402-24101.0412204062.174.3.3.90.36.0100000000;24101.0412204062.174.3.3.90.36.0100000000;0;9000;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;471-24101.0412204032.141.3.3.90.36.1500000000;24101.0412204032.141.3.3.90.36.1500000000;0;9500;0;0;0;0;0;0;0;0;0;0;-9500
Analitico;0;0;527-24101.0412204032.141.3.3.90.36.1500000000;24101.0412204032.141.3.3.90.36.1500000000;150000;0;0;104500;0;0;0;0;0;0;0;19175,6;9500
Analitico;0;0;378-24101.1430602182.051.3.3.90.39.0100000000;24101.1430602182.051.3.3.90.39.0100000000;0;25555;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;381-24101.0412204032.141.3.3.90.39.0100000000;24101.0412204032.141.3.3.90.39.0100000000;0;215755,3;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;403-24101.0412204062.174.3.3.90.39.0100000000;24101.0412204062.174.3.3.90.39.0100000000;0;3000;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;462-24101.1412204032.151.3.3.90.39.1500000000;24101.1412204032.151.3.3.90.39.1500000000;0;33270;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;472-24101.0412204032.141.3.3.90.39.1500000000;24101.0412204032.141.3.3.90.39.1500000000;0;257192,57;0;-104127,81;-50710;0;0;0;0;0;0;0;0
Analitico;0;0;478-24101.1430602182.050.3.3.90.39.1500000000;24101.1430602182.050.3.3.90.39.1500000000;0;110700;0;0;0;0;0;0;0;0;0;0;-108210
Analitico;0;0;515-24101.1430602182.047.3.3.90.39.1500000000;24101.1430602182.047.3.3.90.39.1500000000;200000;0;0;0;0;0;0;0;0;0;0;0;0
Analitico;0;0;517-24101.1430602182.048.3.3.90.39.1500000000;24101.1430602182.048.3.3.90.39.1500000000;400000;0;0;274000;0;0;0;0;0;0;0;72500;0
